source,brand,name,former_price,current_price,discount,product_link,page,discount_pct,savings,on_sale,sold_by_n_sites,scraped_at
eyebuydirect,EyeBuyDirect,St Michel,,49.0,,https://www.eyebuydirect.com/eyeglasses/frames/st-michel-golden-s-19638,1,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Ember,,23.0,,https://www.eyebuydirect.com/eyeglasses/frames/ember-matte-black-l-18789,1,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Wit,,33.0,,https://www.eyebuydirect.com/eyeglasses/frames/wit-gunmetal-m-20088,1,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Coexist,,26.0,,https://www.eyebuydirect.com/eyeglasses/frames/coexist-black-silver-m-15587,1,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Romy,,59.0,,https://www.eyebuydirect.com/eyeglasses/frames/romy-ivory-tortoise-m-27986,1,,,False,1,2026-09-13
eyebuydirect,Ray-Ban,Ray-Ban RB7047,,176.0,,https://www.eyebuydirect.com/eyeglasses/frames/ray-ban-rb7047-tortoise-brown-m-21267,1,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Aven,,46.0,,https://www.eyebuydirect.com/eyeglasses/frames/aven-tortoise-m-30082,1,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,November,,9.0,,https://www.eyebuydirect.com/eyeglasses/frames/november-matte-black-m-19161,1,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Vinyl,,46.0,,https://www.eyebuydirect.com/eyeglasses/frames/vinyl-clear-light-brown-s-28109,1,,,False,1,2026-09-13
eyebuydirect,Oakley,Oakley Holbrook Rx,,187.0,,https://www.eyebuydirect.com/eyeglasses/frames/oakley-holbrook-rx-satin-black-m-21168,1,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Ashby,,33.0,,https://www.eyebuydirect.com/eyeglasses/frames/ashby-tortoise-l-23896,1,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Little Bristol,,19.0,,https://www.eyebuydirect.com/eyeglasses/frames/little-bristol-black-s-19667,1,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Botanist,,39.0,,https://www.eyebuydirect.com/eyeglasses/frames/botanist-gray-brown-m-19654,1,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Time,,23.0,,https://www.eyebuydirect.com/eyeglasses/frames/time-black-m-17499,1,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Bristol,,23.0,,https://www.eyebuydirect.com/eyeglasses/frames/bristol-matte-black-l-13603,1,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Algorithm,,43.0,,https://www.eyebuydirect.com/eyeglasses/frames/algorithm-gunmetal-l-18619,1,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Tower,,59.0,,https://www.eyebuydirect.com/eyeglasses/frames/tower-tortoise-l-20718,1,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Suze,,33.0,,https://www.eyebuydirect.com/eyeglasses/frames/suze-matte-black-xl-24858,1,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Attitude,,66.0,,https://www.eyebuydirect.com/eyeglasses/frames/attitude-pink-ivory-tortoise-l-22407,1,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Denny,,23.0,,https://www.eyebuydirect.com/eyeglasses/frames/denny-black-gray-m-15167,1,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Pacific,,53.0,,https://www.eyebuydirect.com/eyeglasses/frames/pacific-black-m-28073,1,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Percy,,33.0,,https://www.eyebuydirect.com/eyeglasses/frames/percy-light-golden-m-19759,1,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Surrey,,49.0,,https://www.eyebuydirect.com/eyeglasses/frames/surrey-burgundy-m-23893,1,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Amity,,33.0,,https://www.eyebuydirect.com/eyeglasses/frames/amity-clear-s-29606,1,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Octave,,53.0,,https://www.eyebuydirect.com/eyeglasses/frames/octave-golden-m-29714,1,,,False,1,2026-09-13
eyebuydirect,Ray-Ban Meta,Ray-Ban Meta Wayfarer (Gen 2),,379.0,,https://www.eyebuydirect.com/ai-glasses/frames/ray-ban-meta-wayfarer-gen-2-matte-black-m-30661,1,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Fame,,59.0,,https://www.eyebuydirect.com/eyeglasses/frames/fame-golden-l-20224,1,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Spencer,,33.0,,https://www.eyebuydirect.com/eyeglasses/frames/spencer-black-l-21053,1,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Hepburn,,59.0,,https://www.eyebuydirect.com/eyeglasses/frames/hepburn-clear-blue-s-28098,1,,,False,1,2026-09-13
eyebuydirect,Ray-Ban Meta,Ray-Ban Meta Skyler (Gen 2),,459.0,,https://www.eyebuydirect.com/ai-glasses/frames/ray-ban-meta-skyler-gen-2-shiny-peach-l-31614,1,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Jasmine,,53.0,,https://www.eyebuydirect.com/eyeglasses/frames/jasmine-black-s-22401,2,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Little John,,33.0,,https://www.eyebuydirect.com/eyeglasses/frames/little-john-black-xs-15569,2,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Aroma,,63.0,,https://www.eyebuydirect.com/eyeglasses/frames/aroma-tortoise-green-s-29604,2,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Quill,,59.0,,https://www.eyebuydirect.com/eyeglasses/frames/quill-tortoise-l-20153,2,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Cassie,,43.0,,https://www.eyebuydirect.com/eyeglasses/frames/cassie-ivory-tortoise-l-23477,2,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Lucia,,33.0,,https://www.eyebuydirect.com/eyeglasses/frames/lucia-champagne-m-20308,2,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Palo Alto,,53.0,,https://www.eyebuydirect.com/eyeglasses/frames/palo-alto-golden-m-19748,2,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Mandi,,53.0,,https://www.eyebuydirect.com/eyeglasses/frames/mandi-black-s-12743,2,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Bubbles,,26.0,,https://www.eyebuydirect.com/eyeglasses/frames/bubbles-clear-pink-xs-27979,2,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Marlowe,,26.0,,https://www.eyebuydirect.com/eyeglasses/frames/marlowe-tortoise-s-28485,2,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Nala,,49.0,,https://www.eyebuydirect.com/eyeglasses/frames/nala-clear-pink-m-20456,2,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Notting Hill,,49.0,,https://www.eyebuydirect.com/eyeglasses/frames/notting-hill-ivory-tortoise-s-13359,2,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Sixto,,53.0,,https://www.eyebuydirect.com/eyeglasses/frames/sixto-coffee-xl-21972,2,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Clinton,,49.0,,https://www.eyebuydirect.com/eyeglasses/frames/clinton-gunmetal-l-15097,2,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Hubris,,33.0,,https://www.eyebuydirect.com/eyeglasses/frames/hubris-black-floral-s-19043,2,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Cupertino,,49.0,,https://www.eyebuydirect.com/eyeglasses/frames/cupertino-black-s-19207,2,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Morning,,53.0,,https://www.eyebuydirect.com/eyeglasses/frames/morning-warm-tortoise-s-29600,2,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Hollie,,53.0,,https://www.eyebuydirect.com/eyeglasses/frames/hollie-green-xl-20470,2,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Effect,,59.0,,https://www.eyebuydirect.com/eyeglasses/frames/effect-tortoise-l-22003,2,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Latte,,59.0,,https://www.eyebuydirect.com/eyeglasses/frames/latte-black-s-22749,2,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Lena,,53.0,,https://www.eyebuydirect.com/eyeglasses/frames/lena-clear-beige-s-21712,2,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Emory,,43.0,,https://www.eyebuydirect.com/eyeglasses/frames/emory-black-coffee-m-18457,2,,,False,1,2026-09-13
eyebuydirect,rflkt,Theory,,93.0,,https://www.eyebuydirect.com/eyeglasses/frames/theory-cognac-m-15873,2,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Primo,,33.0,,https://www.eyebuydirect.com/eyeglasses/frames/primo-silver-m-19764,2,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Yokote,,26.0,,https://www.eyebuydirect.com/eyeglasses/frames/yokote-matte-black-l-16829,2,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Intense,,56.0,,https://www.eyebuydirect.com/eyeglasses/frames/intense-matte-black-golden-m-15791,2,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Crescendo,,39.0,,https://www.eyebuydirect.com/eyeglasses/frames/crescendo-clear-pink-m-23871,2,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Haiku,,43.0,,https://www.eyebuydirect.com/eyeglasses/frames/haiku-gold-m-23456,2,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Primrose,,49.0,,https://www.eyebuydirect.com/eyeglasses/frames/primrose-tortoise-m-16545,2,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Nobel,,39.0,,https://www.eyebuydirect.com/eyeglasses/frames/nobel-clear-green-l-23479,2,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Movement,,49.0,,https://www.eyebuydirect.com/eyeglasses/frames/movement-gold-s-29609,3,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Garance,,53.0,,https://www.eyebuydirect.com/eyeglasses/frames/garance-black-gold-l-21550,3,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Escape,,53.0,,https://www.eyebuydirect.com/eyeglasses/frames/escape-matte-pink-m-18875,3,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Amore,,43.0,,https://www.eyebuydirect.com/eyeglasses/frames/amore-rose-gold-m-22245,3,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Nebulous,,59.0,,https://www.eyebuydirect.com/eyeglasses/frames/nebulous-clear-brown-l-21700,3,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Soar,,43.0,,https://www.eyebuydirect.com/eyeglasses/frames/soar-silver-m-20304,3,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Inscription,,43.0,,https://www.eyebuydirect.com/eyeglasses/frames/inscription-silver-l-18825,3,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Groundbreaker,,49.0,,https://www.eyebuydirect.com/eyeglasses/frames/groundbreaker-tortoise-s-30258,3,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Zippy,,23.0,,https://www.eyebuydirect.com/eyeglasses/frames/zippy-matte-clear-green-xs-28105,3,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Sloane,,23.0,,https://www.eyebuydirect.com/eyeglasses/frames/sloane-light-tortoise-s-28454,3,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Wistful,,49.0,,https://www.eyebuydirect.com/eyeglasses/frames/wistful-coffee-xs-29605,3,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Noun,,53.0,,https://www.eyebuydirect.com/eyeglasses/frames/noun-ivory-tortoise-m-23027,3,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Woodrow,,53.0,,https://www.eyebuydirect.com/eyeglasses/frames/woodrow-golden-s-16989,3,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,California,,43.0,,https://www.eyebuydirect.com/eyeglasses/frames/california-clear-xl-23246,3,,,False,1,2026-09-13
eyebuydirect,EyeBuyDirect,Chai,,26.0,,https://www.eyebuydirect.com/eyeglasses/frames/chai-rose-gold-l-32408,3,,,False,1,2026-09-13
